class,x,y,z,num_occur
person,5.7476996133759295,-5.173020178574457,0.17629638751085794,3
person,13.474477109027061,-10.26272459739341,0.07117565946324078,3
person,6.726404687807329,-10.944529750556283,-0.08940469424633389,8
chair,7.719360810452298,2.6325339584458525,-0.18973378433585605,6
umbrella,23.02299879918548,-14.700334255187641,-0.40402641139487594,1
bicycle,70.17861708004699,-72.46002266120976,0.8820370122169903,1
bicycle,16.50894230059046,-10.131222575969563,-0.6968529772751478,1
bicycle,60.20372000821397,-54.30286490977295,-0.1708681395664669,2
bicycle,18.21537576270869,-14.720301753963001,-0.775446844362677,1
bench,19.920924818576708,-24.06229853193844,-0.640897281523913,2
stop sign,5.1377273345802195,-10.670006346006161,0.7334922122997316,1
stop sign,7.550308788338299,-12.678280475123179,0.16478962719971435,2
